110,95
112,96
114,96
116,96
118,96
120,96
121,94
121,92
121,90
121,88
121,86
121,84
121,82
121,80
121,78
121,76
121,74
121,72
121,70
121,68
121,66
121,64
121,62
121,60
121,58
121,56
121,54
121,52
123,52
125,52
127,52
129,52
131,52
133,52
135,52
137,52
139,51
139,49
139,47
139,45
139,43
139,41
138,39
136,39
134,39
132,39
130,39
128,39
126,39
124,39
122,39
121,37
121,35
121,33
121,31
121,29
121,27
121,25
121,23
121,21
121,19
121,17
120,15
118,15
116,15
114,15
112,15
110,15
108,15
106,15
104,15
103,17
103,19
103,21
103,23
103,25
103,27
103,29
103,31
103,33
103,35
103,37
102,38
100,38
98,38
96,38
94,38
92,38
90,38
88,38
86,38
84,38
82,38
80,38
78,38
76,38
75,40
75,42
75,44
75,46
77,48
79,50
80,52
82,54
83,56
84,58
85,60
87,62
88,64
90,66
91,68
92,70
94,72
95,74
96,76
97,78
98,80
100,82
102,83
103,85
104,87
106,89
108,91
109,93
105,58
103,56
101,55
100,53
100,52
102,52
104,52
105,53
105,55
105,57
